jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,rbversion,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458855.9465972,1,1101446594315,19.913299560546875,/ztf/archive/sci/2020/0107/446551/ztf_20200107446551_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1101.0,43.0,754.0,26.363000869750977,4.6352099161595106e-05,0.040655601769685745,-0.04919720068573952,7.401579932775348e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458855.9726852,1,1101472684315,20.296100616455078,/ztf/archive/sci/2020/0107/472685/ztf_20200107472685_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1101.0,43.0,754.0,26.384300231933594,3.348239988554269e-05,0.03595219925045967,-0.08099109679460526,4.899889972875826e-05,1.101472684315015e+18,t,1.0,2658.47998046875,1237.6099853515625,174.9113941,48.3458143,19.7322998046875,0.1614840030670166,1.5498299598693848,19.635900497436523,0.2151000052690506,0.7547469735145569,18.006999969482422,0.06300000101327896,5.234000205993652,0.4699999988079071,0.7262930274009705,-0.09638500213623047,2.859999895095825,0.949999988079071,414.02398681640625,0.6601510047912598,0.9003990292549133,0.8130000233650208,0.7860000133514404,0.28426599502563477,0.27482500672340393,1.034350037574768,3.0,0.0,0.9714289903640747,1.0,19.721200942993164,0.29409998655319214,174.9110769,48.3458397,7.41383,ZTF18acibujg
2458856.0118287,1,1101511824315,20.68199920654297,/ztf/archive/sci/2020/0107/511829/ztf_20200107511829_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1101.0,43.0,754.0,26.393299102783203,3.6754499888047576e-05,0.0377935990691185,-0.11534299701452255,5.0850401748903096e-05,1.101511824315015e+18,t,7.0,2679.860107421875,1243.780029296875,174.9112196,48.3457961,19.9512996673584,0.17024299502372742,1.5417799949645996,19.58289909362793,0.14309999346733093,0.3711180090904236,18.006999969482422,0.06300000101327896,5.234000205993652,0.4699999988079071,0.5591359734535217,-0.36839500069618225,2.3499999046325684,0.8019999861717224,392.6390075683594,1.0991100072860718,1.169510006904602,0.9179999828338623,0.7319999933242798,0.39063799381256104,0.3114889860153198,1.25409996509552,3.0,0.0,0.8985710144042969,0.9929310083389282,19.568300247192383,0.1753000020980835,174.9110769,48.3458397,6.80471,ZTF18acibujg
2458859.8074421,2,1105307444315,19.227699279785156,/ztf/archive/sci/2020/0111/307442/ztf_20200111307442_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1105.0,43.0,754.0,26.318599700927734,4.608040035236627e-05,0.042389899492263794,0.1067809984087944,6.42457016510889e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458859.8869097,3,1105386904315,19.309900283813477,/ztf/archive/sci/2020/0111/386910/ztf_20200111386910_000754_zi_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1105.0,43.0,754.0,25.822799682617188,6.595919785468141e-06,0.024734899401664734,0.18160200119018555,2.3278100343304686e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458859.9008333,3,1105400834315,19.44890022277832,/ztf/archive/sci/2020/0111/400833/ztf_20200111400833_000754_zi_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1105.0,43.0,754.0,25.80929946899414,9.859900274022948e-06,0.030083900317549706,0.18052799999713898,3.482009924482554e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458859.9571065,2,1105457104315,19.755599975585938,/ztf/archive/sci/2020/0111/457083/ztf_20200111457083_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1105.0,43.0,754.0,26.384000778198242,2.3237700588651933e-05,0.029989199712872505,0.1178629994392395,3.1997999030863866e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
2458859.9745833,2,1105474584315,19.883899688720703,/ztf/archive/sci/2020/0111/474583/ztf_20200111474583_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1105.0,43.0,754.0,26.408599853515625,2.5578799977665767e-05,0.03164210170507431,0.1083260029554367,3.527290027705021e-05,1.105474584315015e+18,t,3.0,2658.52001953125,1254.8699951171875,174.9113535,48.3458043,19.30660057067871,0.1449580043554306,2.5364599227905273,19.475900650024414,0.32010000944137573,0.7391330003738403,17.107999801635742,0.05900000035762787,5.248000144958496,0.35199999809265137,0.6832829713821411,0.1693190038204193,1.0735900402069092,0.9980000257492065,413.9830017089844,0.40796300768852234,2.0,0.5609999895095825,0.47200000286102295,0.5225470066070557,0.43964698910713196,1.1885600090026855,5.0,0.0,0.86142897605896,0.9864569902420044,19.249399185180664,0.3303999900817871,174.9110407,48.3458028,5.4379,ZTF18acibujg
2458859.9754861,2,1105475484315,19.834199905395508,/ztf/archive/sci/2020/0111/475486/ztf_20200111475486_000754_zr_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,t17_f5_c3,1105.0,43.0,754.0,26.367399215698242,1.767779940564651e-05,0.026022300124168396,0.11455599963665009,2.4322400349774398e-05,1.105475484315015e+18,t,5.0,2658.7099609375,1254.5999755859375,174.911372,48.345787,19.3794002532959,0.17887499928474426,1.6992100477218628,19.328399658203125,0.28940001130104065,0.784758985042572,17.107999801635742,0.05900000035762787,5.248000144958496,0.35199999809265137,0.2914389967918396,-0.050964001566171646,1.0867400169372559,0.9919999837875366,413.7900085449219,0.5057550072669983,2.0,0.7009999752044678,0.515999972820282,0.6450459957122803,0.4748130142688751,1.358530044555664,8.0,0.0,0.8299999833106995,0.9332489967346191,19.779499053955078,0.5564000010490417,174.9110407,48.3458028,5.01915,ZTF18acibujg
2458860.0305093,1,1105530504315,19.4591007232666,/ztf/archive/sci/2020/0111/530509/ztf_20200111530509_000754_zg_c11_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,t17_f5_c3,1105.0,43.0,754.0,26.378299713134766,6.462109740823507e-05,0.045022398233413696,-0.037600498646497726,0.00012045299808960408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acibujg
